Timestamp,What is your main discipline?,What sector do you work in?,What industry does your work related to?,What is your highest level of formal education?,How many years experience do you have working with subsurface data?,Do you think you have conceptual or other biases that impact your work?,Do you publish academic or industry literature?,Do you think there is a reproducibility problem in subsurface geoscience? Reproducibility = the ability to reproduce the results of your own or others' work.,"How much of the geoscience literature, do you think is reproducible? (0 = none, 10 = all)",Have you tried to reproduce your own results at a later date?,If yes please detail.,Have you tried to reproduce others' published results?,If yes please detail.,Have you published (or tried to publish) positive or negative replication findings?,If yes please detail.,Do you regularly write computer code as part of your work?,What practicalities make published results difficult to reproduce? [Access to data],What practicalities make published results difficult to reproduce? [Access to software],What practicalities make published results difficult to reproduce? [Assess to code],What practicalities make published results difficult to reproduce? [Access to journals],What practicalities make published results difficult to reproduce? [Journal standards],What practicalities make published results difficult to reproduce? [Lack of funding for reproducibility studies],What practicalities make published results difficult to reproduce? [Methods undocumented],What practicalities make published results difficult to reproduce? [Confidentiality/copyright issues],Please specify any other factors you think are important?,What factors contribute to irreproducible publications? [Reporting bias],What factors contribute to irreproducible publications? [Poor methodology],What factors contribute to irreproducible publications? [Questionable statistical validity],What factors contribute to irreproducible publications? [Poor/inadequate analysis],What factors contribute to irreproducible publications? [Poor project/experimental design],What factors contribute to irreproducible publications? [Inadequate peer review],What factors contribute to irreproducible publications? [Pressure to publish],What factors contribute to irreproducible publications? [Insufficient mentoring/supervision],What factors contribute to irreproducible publications? [Fraud],Please specify any other factors you think are important?,How could reproducibility be improved by authors? [Publish derived data (e.g. seismic horizons)],How could reproducibility be improved by authors? [Clearer separation of raw data from interpretation],How could reproducibility be improved by authors? [Detailed methods explanation],How could reproducibility be improved by authors? [More robust project/experimental design],How could reproducibility be improved by authors? [Increased statistical understanding],How could reproducibility be improved by authors? [Better teaching and mentoring],How could reproducibility be improved by authors? [Increased collaboration between research groups],How could reproducibility be improved by authors? [Pre-registration of hypotheses to third party (e.g. journal or external researcher)],Please specify any other factors you think are important?,"How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives to publish reproduction studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Increased journal standards]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Modified journal correction process]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives for replication studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Pre-registration of hypotheses to journal]",Please specify any other factors you think are important?
2020/05/29 4:05:27 PM GMT+1,,Academia,"Research, Teaching and Communication",Post-Doctoral,15-20,Yes (regularly),Yes (regularly),Yes (minor),8,No,,Yes,Test,No,Test,Yes,,Often,,Rarely,,,Often,Sometimes,Test,Sometimes,,Often,Sometimes,,Often,,,,,,Yes,Maybe,,,,Maybe,Yes,,Maybe,,Maybe,,Yes,
2020/06/02 9:08:26 AM GMT+1,Geology,Academia,Oil & Gas,Doctoral (PhD),0-5,Yes (sometimes),Yes (sometimes),Yes (minor),6,No,,No,,No,,No,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,,Maybe,Maybe,Yes,Maybe,Yes,Maybe,,Yes,,Yes,Yes,Maybe,Maybe,Maybe,
2020/06/02 9:20:18 AM GMT+1,Geology,Academia,"Research, Teaching and Communication;Oil & Gas",Post-Doctoral,Oct-15,Yes (sometimes),Yes (regularly),Yes (major),7,No,,Yes,,No,,No,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Yes,,Yes,Maybe,Maybe,Maybe,Maybe,
2020/06/02 9:30:21 AM GMT+1,Geology,Academia,Oil & Gas,Doctoral (PhD),0-5,Yes (regularly),Yes (sometimes),Yes (major),3,Yes,Seismic interpretation. Quantitative measurements. Statistics. Depth conversion. ,Yes,"Tried to replicate quantitative measurements where the magnitude or the explicit number makes a significant difference to an interpretation. For example, seismic sections do not match measured values in tables. ",No,,Yes,Often,Rarely,Often,Sometimes,Often,Often,Sometimes,Often,"Historical use:
When a paper is referred to over a number of decades and becomes almost colloquial. A paper's reproducibility may only have been tested once (if at all!) and yet may be treated as truth. Innovative papers from decades ago that continue to be name-dropped should still be held to same standards of reproducibility as new papers where possible. We as a community can't give these seminal papers a 'free ride'. 

Poor quality online material:
Some articles are reproduced from scans, especially if older or produced in print originally. The figures are often distorted or the colours affected. This affects whether the results can be reproduced. This may not be a pervasive problem but could have an affect. This ties into the following point. 

Reliance on conference abstracts references: 
Conference abstracts are excellent for innovation. However, some individuals use this as a loop-hole. An individual may refer to a conference abstract which may not be available or only partially available e.g. the conference abstract but not the associated poster/slides.  I believe any research should be treated with care (regardless of its source) and the reader should have access to the data required to make an informed decision. Conference abstracts, at least in my experience, fall into this category a lot more than other research outputs.

Method:
If you use the same mathematical function 100 times you *could* get the same result BUT the method may not be valid/appropriate. The link between validity and reproducibility is difficult. ",Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,"It is a hard one to get right, but I think data points are often cherry-picked. Individuals conducting research may include only data that backs up their working theory. Note that this is subtly different (at least in mentality) from choosing the best examples - the research output needs to be understandable by the readers! 

Poorly-executed reproducibility studies! ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,"Providing access to research output can introduce bias. For example, seismic horizons might be interpreted very similarly if you have 'toggle' access to another researcher's outputs. It is difficult to not be influenced by others' work. ",Yes,Yes,Yes,Yes,,"Wasn't quite sure where to write this so forgive me: I like your definition of reproducibility although one thing I wasn't clear on: is reproducibility the ability to reproduce your results using *the same methods* or can you also use *new methods*. If the former, you may get the same results but the method still needs to be critiqued. If the latter, the assurance in the outcome increases which I would assume is the overall goal i.e. yes vs. no vs. maybe. Other than that, great idea to survey people on this topic! "
2020/06/02 9:38:48 AM GMT+1,Geology,Academia;15 years in industry previously,"Research, Teaching and Communication;Mining & Quarrying;Oil & Gas",Doctoral (PhD),15-20,Yes (regularly),Yes (regularly),Yes (major),7,Yes,"Interpretations of onshore fold-and-thrust belts (Kurdish Zagros, Southern Carpathians) re-interpreted within months/years of previous interpretations. Revision based on same data, no re-processing, change in model/concept. All these done as part of my industry job, unpublished results. Interpretation has varied little geometrically (I am stuck on the same reflectors), but has had major impact on inferred kinematic history. Add to these examples multiple cases where multiple 'valid' structural models have been proposed for a same dataset.",Yes,"Interpretation of PSDM lines from the offshore Kwanza basin (Angola), West Iberian margin, Southern Carpathian foreland (Getic basin, Romania), amongst others. The lack of open access to the data is a major hurdle. Beyond that, published interpretations on seismic are normally secondary in most publications (they are critical to draw conclusions but are presented as certain interpretations) and therefore are not thoroughly reviewed during the peer-reviewed process. When peer-reviewing, objections to seismic interpretations presented have normally been dismissed by authors without proper consideration (I had more influence on my colleagues in industry).",No,"Not replication findings, but work on the same data as previous others.",No,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Peer review does not encourage thinking of reproducibility.,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,"In subsurface, when datasets are scant, models are critical in converging on an answer. Publications (and companies) require answers/solutions. Publications on 'objective' data-based observations that do not provide answers/solutions are not encouraged.",Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Yes,"Encouraging open discussion of quality/validity of data and interpretations would be useful. That is, allowing researchers to feed into what part of data is most reliable and how it can reasonably be interpreted before drawing conclusions on it. This of course, to a certain extent is doing somebody else's job, but let's just dream for a while...",Yes,Maybe,Yes,Yes,Yes,
2020/06/02 9:43:07 AM GMT+1,Geology & Geophysics,Academia,Oil & Gas,"Masters (MSci, MSc, MS)",Oct-15,Yes (sometimes),Yes (sometimes),Yes (major),3,No,,No,,No,,No,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 9:53:21 AM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,Oct-15,Yes (regularly),Yes (sometimes),Unsure,7,Yes,I've gone back and interpreted the same dataset again during PhD after having more experience and had read a lot more. I think for a lot of people interpretation is iterative and so as you gain more experience the interpretation develops.,Yes,"Again, for my PhD I had interpretations based on 2D data that were already completed, that I  used as a guide to interpret the 3D data but the interpretation was quite different in the end due to the continuity of the 3D data making it easy to tie between lines.",No,"No, but I think in all aspects of science this is really important.",No,Sometimes,Often,Rarely,Sometimes,Often,Often,Often,Often;Sometimes,I think the current model of having to churn out papers rather than actually have time to think what the geoscience community actually needs/the world needs from geoscience. I also think there is a real lack of methods out there in seismic interpretation. i think seismic interpretation is really bias based on the persons background. I have seen glaciologists/Quaternary scientists interpret things that coastal specialists or sedimentologists would interpret completely differently.  I think a lot of seismic interpretation is pattern recognition so is entirely bias by what you have seen and worked with before. ,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,"I think peer review of seismic studies might be an issue, because a lot of the time the interpretation of the data is not accessible to reviews. So how do we know that the interpretation is valid, especially when the study may be on 3D seismic. Getting a handing of the interpretation from a couple of 2D figures is difficult and a lot of the time not representative of the complexity that might be shown in the 3D data. I think the fact that reviewing is not counted within workload management is also an issue because who has the time to spend days on reviews anymore. Everyone is overworked. ",Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,"Better teaching on how to be methodical and record information whilst interpreting, like you would if you were running any other experiment. It is something I have struggled with for years and just about getting a methodology that works for me, where how I am interpreting the data is recorded.",Yes,Yes,Maybe,Yes,Maybe,
2020/06/02 10:17:07 AM GMT+1,Geology,Academia,Oil & Gas;CO2 Storage,"Masters (MSci, MSc, MS)",5-Oct,Yes (sometimes),Yes (sometimes),Yes (major),5,No,,Yes,"For early work in new sedimentary basins using existing published seismic lines to get to grips with geology. Typical vintage of these papers are late 90s to early 00s and modern interp can vary quite significantly from published ones. This may be due to advances in our understanding of geological processes but also shows the variability in the interpretation of seismic data, particularly in frontier areas with limited hard well control like wells or seabed samples. ",No,,No,Often,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Often,Often,"Confidentiality, particularly of industry reports. While these are often cited, it is significantly more difficult to gain access and even to establish who the controlling body for said data is. ",Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Maybe,,Yes,Yes,Yes,Yes,No,
2020/06/02 10:17:21 AM GMT+1,Geology,Academia,"Research, Teaching and Communication;Ore geology; exploration","Masters (MSci, MSc, MS)",0-5,Yes (sometimes),Yes (regularly),Yes (minor),5,No,,No,,No,,Yes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes;Rarely,Rarely,,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Yes,Yes,Maybe,Maybe,No,
2020/06/02 10:23:35 AM GMT+1,Geology,Academia,"Research, Teaching and Communication","Bachelors (BSc, BS)",0-5,Yes (sometimes),Yes (regularly),Yes (major),4,Yes,Iâ€™ve recreated fault throw-length plots to see if I got the same results ,No,,No,,No,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,,Maybe,Maybe,Yes,Yes,No,
